Date/Time,Year,Month,Day,Time,Data Quality,Temp (C),Temp Flag,Dew Point Temp (C),Dew Point Temp Flag,Rel Hum (%),Rel Hum Flag,Wind Dir (10s deg),Wind Dir Flag,Wind Spd (km/h),Wind Spd Flag,Visibility (km),Visibility Flag,Stn Press (kPa),Stn Press Flag,Hmdx,Hmdx Flag,Wind Chill,Wind Chill Flag,Weather
2012-04-01 00:00,2012,4,1,00:00,,4.3,,2.3,,87,,30,,28,,12.9,,99.88,,,,,,Rain
2012-04-01 01:00,2012,4,1,01:00,,4.4,,2.2,,86,,30,,17,,8,,99.94,,,,,,Rain - Fog
2012-04-01 02:00,2012,4,1,02:00,,3.8,,1.6,,86,,30,,26,,6.4,,100,,,,,,Rain - Fog
2012-04-01 03:00,2012,4,1,03:00,,2.8,,0.7,,86,,29,,39,,8,,100.1,,,,,,Rain - Fog
2012-04-01 04:00,2012,4,1,04:00,,2.4,,0.4,,87,,29,,30,,9.7,,100.23,,,,,,Moderate Rain
2012-04-01 05:00,2012,4,1,05:00,,3,,0.9,,86,,29,,35,,9.7,,100.37,,,,,,Rain
2012-04-01 06:00,2012,4,1,06:00,,3.7,,1.7,,87,,27,,30,,12.9,,100.55,,,,,,Rain
2012-04-01 07:00,2012,4,1,07:00,,4.7,,1.3,,79,,26,,24,,16.1,,100.74,,,,,,Mostly Cloudy
2012-04-01 08:00,2012,4,1,08:00,,5.3,,1.3,,75,,21,,20,,24.1,,100.94,,,,,,Mostly Cloudy
2012-04-01 09:00,2012,4,1,09:00,,5.9,,1.9,,75,,17,,13,,24.1,,101.07,,,,,,Mostly Cloudy
2012-04-01 10:00,2012,4,1,10:00,,7,,1.5,,68,,22,,7,,32.2,,101.15,,,,,,Mostly Cloudy
2012-04-01 11:00,2012,4,1,11:00,,7.8,,0.7,,61,,23,,6,,32.2,,101.28,,,,,,Mainly Clear
2012-04-01 12:00,2012,4,1,12:00,,9.1,,1.9,,61,,23,,4,,32.2,,101.35,,,,,,Mainly Clear
2012-04-01 13:00,2012,4,1,13:00,,9.5,,0.3,,53,,23,,9,,32.2,,101.41,,,,,,Mainly Clear
2012-04-01 14:00,2012,4,1,14:00,,9.8,,-1.3,,46,,33,,4,,32.2,,101.48,,,,,,Mainly Clear
2012-04-01 15:00,2012,4,1,15:00,,10.5,,0.2,,49,,24,,7,,32.2,,101.56,,,,,,Mainly Clear
2012-04-01 16:00,2012,4,1,16:00,,9.5,,2.1,,60,,22,,19,,32.2,,101.59,,,,,,Mostly Cloudy
2012-04-01 17:00,2012,4,1,17:00,,8.7,,2.4,,65,,19,,26,,32.2,,101.69,,,,,,Mostly Cloudy
2012-04-01 18:00,2012,4,1,18:00,,8.5,,0.9,,59,,18,,15,,32.2,,101.77,,,,,,Cloudy
2012-04-01 19:00,2012,4,1,19:00,,8.4,,1.6,,62,,15,,13,,32.2,,101.82,,,,,,Cloudy
2012-04-01 20:00,2012,4,1,20:00,,7.9,,2.5,,69,,13,,11,,32.2,,101.91,,,,,,Cloudy
