month,day-of-month,day-of-week,hour,load-h-minus-1,load-h-minus-2,load-h-minus-3,load-h-minus-4,load-h-minus-5,load-h-minus-6,load-h-minus-7,load-h-minus-8,load-h-minus-9,load-h-minus-10,load-h-minus-11,load-h-minus-12,load-h-minus-13,load-h-minus-14,load-h-minus-15,load-h-minus-16,load-h-minus-17,load-h-minus-18,load-h-minus-19,load-h-minus-20,load-h-minus-21,load-h-minus-22,load-h-minus-23,load-h-minus-24,load-d-minus-2,load-d-minus-3,load-d-minus-4,load-d-minus-5,load-d-minus-6,load-d-minus-7,load-d-minus-14,load-d-minus-21,load-d-minus-28,load-d-minus-35,min_load-h3,max_load-h3,min_load-h6,max_load-h6,min_load-h12,max_load-h12,min_load-h14,max_load-h14,washer_h1,washer_h3,washer_h6,washer_h12,washer_h24,dish_h1,dish_h3,dish_h6,dish_h12,dish_h24,hot_h1,hot_h3,hot_h6,hot_h12,hot_h24,dryer_h1,dryer_h3,dryer_h6,dryer_h12,dryer_h24,heat_h1,heat_h3,heat_h6,heat_h12,heat_h24
5,6,6,0,127666.0,135921.0,76757.0,135531.0,78628.0,102746.0,185905.0,69682.0,56237.0,66046.0,68711.0,138721.0,134490.0,105381.0,79975.0,149010.0,149007.0,136090.0,130564.0,132489.0,124776.0,143101.0,120466.0,92519.0,87724.0,114730.0,120809.0,82604.0,142183.0,100602.0,52755.0,53668.0,136788.0,186949.0,76757.0,135921.0,76757.0,135921.0,56237.0,185905.0,56237.0,185905.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,9.0,18.0,35.0,0.0,0.0,0.0,0.0,0.0
5,7,0,0,57347.0,77401.0,76682.0,78195.0,84244.0,72797.0,89703.0,72652.0,75713.0,76341.0,71043.0,107400.0,69000.0,120064.0,67976.0,138641.0,134020.0,138408.0,145258.0,138842.0,131282.0,113485.0,99968.0,106196.0,92519.0,87724.0,114730.0,120809.0,82604.0,142183.0,53206.0,111416.0,111362.0,136442.0,57347.0,77401.0,57347.0,84244.0,57347.0,107400.0,57347.0,120064.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,9.0,18.0,36.0,0.0,0.0,0.0,0.0,0.0
5,8,1,0,55449.0,62189.0,101112.0,76345.0,82126.0,80541.0,179519.0,75648.0,62671.0,188792.0,51825.0,51966.0,55588.0,238647.0,118455.0,141851.0,91651.0,95200.0,128698.0,126919.0,105096.0,74275.0,54147.0,51398.0,106196.0,92519.0,87724.0,114730.0,120809.0,82604.0,61513.0,107061.0,70763.0,134030.0,55449.0,101112.0,55449.0,101112.0,51825.0,188792.0,51825.0,238647.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,10.0,18.0,36.0,0.0,0.0,0.0,0.0,0.0
5,9,2,0,53734.0,64943.0,120434.0,155579.0,130645.0,224386.0,315262.0,101293.0,98350.0,130348.0,289013.0,204274.0,417568.0,96538.0,84682.0,185010.0,59797.0,53131.0,51844.0,56996.0,51294.0,51697.0,57078.0,52387.0,51398.0,106196.0,92519.0,87724.0,114730.0,120809.0,81280.0,116896.0,53664.0,137817.0,53734.0,120434.0,53734.0,224386.0,53734.0,315262.0,53734.0,417568.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,9.0,18.0,36.0,0.0,1.0,2.0,4.0,5.0
5,10,3,0,170105.0,185154.0,154699.0,495701.0,107430.0,136921.0,78833.0,67363.0,53133.0,56216.0,62892.0,109266.0,99457.0,73896.0,103453.0,54360.0,126449.0,58614.0,54701.0,53453.0,58635.0,54058.0,56704.0,56683.0,52387.0,51398.0,106196.0,92519.0,87724.0,114730.0,59297.0,131392.0,394298.0,125996.0,154699.0,185154.0,107430.0,495701.0,53133.0,495701.0,53133.0,495701.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,9.0,17.0,36.0,0.0,1.0,2.0,2.0,2.0
5,11,4,0,108013.0,161868.0,294931.0,337268.0,216112.0,95979.0,80707.0,56338.0,61817.0,58957.0,67967.0,114975.0,56353.0,131727.0,57086.0,130959.0,147311.0,149628.0,118635.0,174986.0,132674.0,129228.0,86857.0,116971.0,56683.0,52387.0,51398.0,106196.0,92519.0,87724.0,102694.0,115084.0,51318.0,156292.0,108013.0,294931.0,95979.0,337268.0,56338.0,337268.0,56338.0,337268.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,11.0,23.0,43.0,0.0,1.0,1.0,2.0,2.0
5,12,5,0,135491.0,149749.0,65230.0,64369.0,89403.0,87101.0,214034.0,129116.0,69581.0,60250.0,51887.0,54837.0,56651.0,69537.0,53549.0,117527.0,154018.0,129761.0,129455.0,132903.0,126251.0,107655.0,125877.0,116707.0,116971.0,56683.0,52387.0,51398.0,106196.0,92519.0,60337.0,54591.0,64737.0,149564.0,65230.0,149749.0,64369.0,149749.0,51887.0,214034.0,51887.0,214034.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,9.0,19.0,39.0,0.0,1.0,1.0,2.0,3.0
5,13,6,0,103444.0,168605.0,126490.0,110064.0,108627.0,93526.0,85990.0,59194.0,60785.0,55796.0,79002.0,83976.0,83095.0,105012.0,85075.0,65556.0,125988.0,122230.0,137167.0,131681.0,53927.0,57667.0,53130.0,63101.0,116707.0,116971.0,56683.0,52387.0,51398.0,106196.0,100602.0,52755.0,53668.0,136788.0,103444.0,168605.0,93526.0,168605.0,55796.0,168605.0,55796.0,168605.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,9.0,20.0,39.0,0.0,1.0,1.0,3.0,3.0
5,14,0,0,126761.0,121359.0,105627.0,188501.0,297661.0,100131.0,89973.0,85679.0,68535.0,58773.0,54625.0,60998.0,64605.0,105531.0,90963.0,89422.0,110208.0,54588.0,58729.0,52129.0,58765.0,59909.0,53812.0,56297.0,63101.0,116707.0,116971.0,56683.0,52387.0,51398.0,142183.0,53206.0,111416.0,111362.0,105627.0,126761.0,100131.0,297661.0,54625.0,297661.0,54625.0,297661.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,10.0,22.0,43.0,0.0,1.0,1.0,1.0,1.0
5,15,1,0,58747.0,146846.0,130849.0,116700.0,118471.0,92064.0,108374.0,184914.0,144372.0,80625.0,54765.0,53072.0,58193.0,55515.0,56480.0,60165.0,69623.0,99440.0,55827.0,54947.0,60108.0,56082.0,56518.0,83470.0,56297.0,63101.0,116707.0,116971.0,56683.0,52387.0,82604.0,61513.0,107061.0,70763.0,58747.0,146846.0,58747.0,146846.0,53072.0,184914.0,53072.0,184914.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,10.0,19.0,38.0,0.0,1.0,1.0,2.0,2.0
